"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 05 17:24:17 CST 2024","Tue Mar 05 17:24:17 CST 2024","385","testsuits.MyProject.testcase.01moudle","case1","","","","test_case1","1"
"passed","Tue Mar 05 17:24:18 CST 2024","Tue Mar 05 17:24:18 CST 2024","103","testsuits.MyProject.testcase.01moudle","case2","","","","test_case2","2"
